Year,Team,Avg HR Trot,Actual HR,xHR,HR-xHR,Doubters,Mostly Gone,No Doubters,No Doubter %
2018,,18.8,1,0.2,1,1,0,0,0.0
2020,,--,0,0.5,-1,3,0,0,--
2021,,22.9,4,2.4,2,6,4,0,0.0
2022,,--,0,1.7,-2,2,3,0,--
Player,,21.8,5,4.8,0,12,7,0,0.0
