Season,Team,Pos,PA,Depth (ft.),Angle
2018,HOU,7,35,298,-25
2018,HOU,9,58,291,26
2018,HOU,8,20,314,-1
2019,HOU,8,310,318,0
2019,HOU,7,132,296,-26
2019,HOU,4,72,156,14
2019,HOU,6,710,146,-6
2019,HOU,9,44,295,27
2020,HOU,8,810,320,0
2020,HOU,6,12,150,-9
2021,HOU,8,3448,321,1
2021,CLE,8,2088,313,1
2022,CLE,8,5358,317,1
