 , , , ,1B, ,2B, ,3B, ,SS, ,LF, ,CF, ,RF
Year,Total Throws,Max,Overall,Throws,Arm,Throws,Arm,Throws,Arm,Throws,Arm,Throws,Arm,Throws,Arm,Throws,Arm
2020,65,88.4,85.4,--,--,--,--,--,--,3,--,--,--,62,85.4,--,--
2021,495,91.6,85.3,--,--,--,--,--,--,--,--,--,--,495,85.3,--,--
2022,512,92.2,85.3,--,--,--,--,--,--,--,--,--,--,512,85.3,--,--
