BATTERS - TEX,AB,R,H,RBI,BB,SO,LOB,AVG,OPS
Semien2B,3,2,1,0,1,0,0,.239,.709
SeagerSS,4,1,1,2,0,2,1,.255,.807
"Lowe, N1B",2,0,2,1,2,0,0,.301,.850
"García, AdDH",4,0,0,0,0,2,4,.256,.753
CalhounRF,4,0,1,0,0,2,2,.208,.626
TaverasCF,4,0,0,0,0,0,2,.291,.744
"Duran, E3B",4,0,1,0,0,1,1,.243,.673
ViloriaC,3,0,0,0,0,2,1,.167,.575
a-HeimPH,1,0,0,0,0,0,1,.237,.733
"Thompson, BLF",3,0,0,0,0,1,0,.264,.631
"b-Miller, BPH",1,0,0,0,0,1,1,.212,.590
,33,3,6,3,3,11,13,,
