PITCHERS - TEX,IP,H,R,ER,BB,SO,HR,ERA
"Pérez(L, 10-5)",5.0,9,5,5,4,5,0,2.89
"Santana, D",2.0,1,0,0,1,4,0,5.44
Burke,1.0,1,0,0,0,0,0,1.57
"Martin, B",1.0,0,0,0,2,2,0,3.60
,9.0,11,5,5,7,11,0,
