PITCHERS - SF,IP,H,R,ER,BB,SO,HR,ERA
"Junis(L, 4-6)",5.0,7,4,4,1,5,1,4.15
"García, J",1.0,0,0,0,0,0,0,3.38
Waites,1.0,1,0,0,1,0,0,0.00
"Ortiz, L.F.",2.0,2,1,1,1,0,0,1.93
,9.0,10,5,5,3,5,1,
