PITCHERS - HOU,IP,H,R,ER,BB,SO,HR,ERA
Javier,5.0,2,1,1,4,3,1,3.13
"Maton, P(H, 10)",1.0,1,0,0,0,2,0,3.46
"Stanek(H, 9)",1.0,0,0,0,0,1,0,0.56
"Montero(H, 14)",1.0,0,0,0,0,0,0,1.88
"Neris(W, 3-3)(BS, 2)",1.0,2,1,1,1,0,0,3.69
,9.0,5,2,2,5,6,1,
