PITCHERS - PHI,IP,H,R,ER,BB,SO,HR,ERA
"Suárez, R",3.1,3,1,1,5,5,1,2.70
Bellatti,0.2,1,0,0,0,1,0,0.00
Brogdon,0.1,2,2,2,2,0,0,54.00
"Hand(H, 1)",0.2,0,0,0,0,1,0,0.00
"Domínguez(W, 1-0)",2.0,0,0,0,0,3,0,0.00
Alvarado,1.0,0,0,0,0,1,0,7.71
Eflin,1.0,3,3,3,0,1,1,12.00
,9.0,9,6,6,7,12,2,
