PITCHERS - MIL,IP,H,R,ER,BB,SO,HR,ERA
Lauer,6.0,5,0,0,1,13,0,2.20
Boxberger,1.0,0,0,0,0,1,0,0.00
"Williams, D(W, 1-0)",1.0,0,0,0,1,1,0,5.68
"Hader(S, 8)",1.0,0,0,0,0,1,0,0.00
,9.0,5,0,0,2,16,0,
