BATTERS - CWS,AB,R,H,RBI,BB,SO,LOB,AVG,OPS
MendickSS,1,0,1,0,0,0,0,.289,.786
"Garcia, LeSS-CF",4,0,0,0,0,0,6,.189,.456
Vaughn1B-2B,5,1,3,0,0,0,2,.333,.887
Robert Jr.CF,3,0,1,1,0,1,1,.300,.762
Zavala1B,2,1,1,0,0,1,1,.286,.780
"Abreu, JDH",3,1,1,0,2,0,2,.262,.794
Burger3B,5,1,2,1,0,1,4,.261,.790
McGuireC,4,0,1,1,0,1,3,.237,.578
EngelRF,1,0,0,0,0,1,0,.240,.646
PollockLF,3,0,1,1,0,0,1,.259,.691
HaseleyLF-RF,4,0,1,1,0,1,2,.222,.522
Harrison2B-SS,4,1,1,0,0,1,5,.217,.611
,39,5,13,5,2,7,27,,
