BATTERS - TOR,AB,R,H,RBI,BB,SO,LOB,AVG,OPS
Espinal2B,4,2,1,0,1,0,2,.267,.725
BichetteSS,5,1,2,4,0,1,0,.260,.733
Guerrero1B,5,1,1,0,0,1,2,.264,.857
KirkDH,5,1,2,2,0,0,1,.307,.882
"Hernández, TRF",4,1,2,2,0,1,2,.253,.759
"Chapman, M3B",4,1,1,0,0,1,1,.214,.684
"Tapia, RCF",4,0,0,0,0,1,2,.256,.645
ZimmerCF,0,0,0,0,0,0,0,.111,.433
Gurriel Jr.LF,4,1,2,1,0,0,1,.279,.734
MorenoC,4,1,2,0,0,0,0,.393,.843
,39,9,13,9,1,5,11,,
