PITCHERS - TOR,IP,H,R,ER,BB,SO,HR,ERA
"Stripling(W, 4-2)",6.0,5,1,1,1,5,0,3.08
Phelps,1.0,3,1,1,0,1,0,2.93
Cimber,0.1,4,3,3,1,0,0,4.03
"Thornton(H, 1)",0.2,0,0,0,0,0,0,3.68
Mayza,1.0,1,0,0,0,1,0,2.08
,9.0,13,5,5,2,7,0,
