BATTERS - MIN,AB,R,H,RBI,BB,SO,LOB,AVG,OPS
ArraezDH-2B,4,0,1,0,0,1,1,.318,.812
CorreaSS,2,0,0,0,0,0,0,.268,.775
GarlickRF,2,0,0,0,0,2,1,.261,.845
KeplerRF,2,0,0,0,0,0,0,.230,.680
PalaciosSS-P,1,0,0,0,0,1,0,.200,.450
Miranda1B,3,0,0,0,0,0,0,.272,.768
Gordon2B-P-SS,3,0,0,0,0,1,0,.276,.754
Urshela3B,3,0,0,0,0,1,0,.266,.737
CaveLF,2,0,0,0,1,0,0,.203,.674
SanchezC,2,0,0,0,0,0,1,.213,.677
"Hamilton, CC",1,0,0,0,0,1,0,.000,.000
CelestinoCF,2,0,0,0,1,0,0,.249,.635
,27,0,1,0,2,7,3,,
