BATTERS - ATL,AB,R,H,RBI,BB,SO,LOB,AVG,OPS
SwansonSS,4,0,0,0,0,2,0,.278,.771
"Contreras, WmDH",4,0,1,0,0,2,0,.276,.855
Riley3B,3,0,3,0,0,0,0,.280,.897
d'ArnaudC,4,0,0,0,0,1,5,.269,.807
Olson1B,3,0,1,0,1,0,3,.235,.775
Grissom2B,3,0,0,0,1,2,2,.299,.821
"Harris II, MCF",4,0,0,0,0,0,5,.305,.875
OzunaLF,4,0,1,0,0,1,0,.221,.668
1-HerediaPR,0,0,0,0,0,0,0,.127,.505
GrossmanRF,4,0,0,0,0,1,1,.210,.625
,33,0,6,0,2,9,16,,
