BATTERS - MIL,AB,R,H,RBI,BB,SO,LOB,AVG,OPS
YelichLF,4,0,1,1,0,1,1,.250,.732
AdamesSS,3,0,0,0,1,0,3,.221,.734
Tellez1B,4,0,0,0,0,1,1,.238,.803
RenfroeRF,4,0,0,0,0,1,0,.239,.784
HiuraDH,4,0,2,0,0,1,0,.246,.828
"Wong, Ko2B",2,0,0,0,0,1,1,.246,.734
a-BrosseauPH-3B,1,0,0,0,1,1,0,.268,.787
"Urías, L3B-2B",4,0,0,0,0,1,3,.225,.709
"Taylor, TCF",2,1,0,0,1,2,0,.224,.692
CaratiniC,0,0,0,0,0,0,0,.223,.730
FelicianoC,2,0,1,0,1,1,0,.250,.650
"1-Davis, JoPR-CF",0,0,0,0,0,0,0,.229,.592
,30,1,4,1,4,10,9,,
