BATTERS - LAD,AB,R,H,RBI,BB,SO,LOB,AVG,OPS
BettsRF,2,0,0,0,2,0,1,.271,.876
TurnerSS,3,0,0,0,1,1,1,.304,.833
"Freeman, F1B",4,0,1,0,0,0,3,.322,.922
"Turner, JDH",4,0,0,0,0,1,4,.254,.723
"Taylor, ChLF",4,0,1,0,0,1,2,.234,.729
Muncy3B,4,1,1,1,0,0,1,.187,.704
Alberto2B,3,0,1,0,0,0,0,.246,.625
"Thompson, TCF",3,0,0,0,0,3,1,.256,.824
"Barnes, AC",3,1,2,1,0,1,0,.183,.645
,30,2,6,2,3,7,13,,
