BATTERS - BAL,AB,R,H,RBI,BB,SO,LOB,AVG,OPS
MullinsCF,4,0,0,0,0,1,1,.239,.737
Mancini1B,4,1,3,1,0,0,0,.280,.671
SantanderRF,3,1,1,0,1,1,1,.231,.740
HaysLF,3,1,2,0,0,0,2,.327,.903
MountcastleDH,4,0,1,2,0,0,5,.275,.714
Odor2B,4,0,0,0,0,0,2,.203,.598
Nevin3B,3,1,0,0,1,1,0,.150,.470
BemboomC,3,1,1,0,1,1,0,.132,.417
MateoSS,4,1,1,1,0,1,1,.242,.638
,32,6,9,4,3,5,12,,
