PITCHERS - BAL,IP,H,R,ER,BB,SO,HR,ERA
"Wells, T(W, 1-2)",6.0,5,1,1,0,3,0,3.75
"Bautista, F",1.0,0,0,0,0,2,0,2.19
Fry,0.2,1,0,0,1,1,0,6.75
"Krehbiel(H, 2)",0.1,0,0,0,0,0,0,3.18
"López, Jo",1.0,0,0,0,2,1,0,1.13
,9.0,6,1,1,3,7,0,
