BATTERS - CWS,AB,R,H,RBI,BB,SO,LOB,AVG,OPS
PollockLF,4,2,2,0,1,0,4,.262,.681
Vaughn1B,6,1,3,0,0,1,4,.315,.855
Robert Jr.CF,4,1,1,0,0,2,5,.283,.720
"a-Garcia, LePH-RF",2,0,0,0,0,1,1,.199,.479
"Abreu, JDH",5,3,4,2,1,1,2,.272,.827
Moncada3B,6,2,5,5,0,0,2,.181,.527
EngelRF-CF,6,1,1,1,0,2,6,.226,.618
Harrison2B,5,1,3,1,0,1,1,.198,.567
ZavalaC,5,1,2,3,0,1,4,.222,.756
MendickSS,3,1,1,1,1,2,1,.288,.812
,46,13,22,13,3,11,30,,
