PITCHERS - CWS,IP,H,R,ER,BB,SO,HR,ERA
Velasquez,2.2,1,0,0,0,3,0,4.93
"Martin(W, 1-2)",5.1,3,0,0,0,3,0,3.05
"Ruiz, J",1.0,0,0,0,0,0,0,5.32
,9.0,4,0,0,0,6,0,
