Season,Tm,LG,PA,TB,LOB,SAC,SF,BABIP,XBH,GIDP,GIDPO,NP,P/PA,K/PA,HR/PA,BB/K,ISO,ROE,WO
2018,NYY,AL,484,207,182,1,5,.321,41,8,68,1951,4.031,.252,.050,.344,.209,2,2
2019,NYY,AL,604,292,219,1,6,.296,64,10,92,2393,3.962,.214,.063,.372,.256,2,1
2020,NYY,AL,160,50,69,0,0,.286,11,5,24,671,4.194,.175,.019,.786,.125,0,0
2021,NYY,AL,516,168,190,2,4,.314,31,12,81,2078,4.027,.202,.017,.481,.107,3,2
2022,NYY,AL,572,237,273,1,3,.295,53,12,80,2226,3.892,.226,.042,.302,.194,4,2
5 Seasons,NYY,AL,2336,954,933,5,18,.304,200,47,345,9319,3.989,.219,.042,.393,.190,11,7
