 , ,Bases Empty, , , ,Runners On Base
Season,Team,Pitches,Tempo,Fast %,Slow %,Pitches,Tempo,Fast %,Slow %
2018,,547,16.2,38.0%,1.6%,331,22.2,1.8%,9.7%
2019,,661,17.4,26.8%,2.4%,341,23.7,0.9%,14.4%
2020,,198,18.1,19.7%,4.0%,139,23.9,0.7%,12.9%
2021,,623,17.5,25.4%,4.2%,355,23.4,0.6%,15.2%
2022,,570,17.7,23.0%,2.6%,422,23.5,0.7%,14.7%
