,PA,AB,R,H,HR,RBI,SB,AVG,OBP,SLG,OPS
2022,572,526,73,135,24,76,10,.257,.310,.451,.761
5 Seasons,2336,2098,290,556,98,310,36,.265,.331,.455,.786
