Season,Bat Side,PA,Shifts,%,wOBA - No Shift,wOBA - Shift
2018,R,481,69,14.3,.353,.327
2019,R,591,196,33.2,.348,.370
2020,R,160,61,38.1,.364,.263
2021,R,510,165,32.4,.312,.300
2022,R,568,227,40.0,.324,.337
