PITCHERS - NYM,IP,H,R,ER,BB,SO,HR,ERA
Megill,6.0,7,4,4,2,4,1,2.20
"Rodríguez, J",1.0,0,0,0,0,1,0,10.38
Lugo,1.0,2,0,0,0,1,0,6.75
Díaz,1.0,0,0,0,1,1,0,1.80
"Ottavino(W, 1-0)",1.0,0,0,0,1,0,0,0.00
,10.0,9,4,4,4,7,1,
