Season,Bat Side,PA,Shifts,%,wOBA - No Shift,wOBA - Shift
2016,L,646,388,60.1,.429,.366
2017,L,679,408,60.1,.435,.344
2018,L,650,406,62.5,.349,.365
2019,L,605,420,69.4,.383,.388
2020,L,239,200,83.7,.222,.347
2021,L,574,438,76.3,.335,.340
2022,L,539,445,82.6,.332,.357
