Team,Lg,Type,PA,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,HBP,AVG,OBP,SLG,OPS
New York Yankees,MLB,April,92,77,14,21,4,0,9,21,11,13,2,1,4,.273,.391,.675,1.066
New York Yankees,MLB,May,112,96,14,16,6,1,2,8,12,20,1,0,2,.167,.268,.313,.581
New York Yankees,MLB,June,112,94,17,22,0,0,10,22,13,22,3,0,5,.234,.357,.553,.910
New York Yankees,MLB,July,86,70,16,18,6,0,4,11,10,12,0,2,6,.257,.395,.514,.909
New York Yankees,MLB,August,87,77,10,16,3,0,5,9,9,26,0,0,1,.208,.299,.442,.741
New York Yankees,MLB,September,42,37,4,9,2,0,2,4,2,6,0,2,3,.243,.333,.459,.792
New York Yankees,MLB,October,17,14,2,2,0,0,0,0,1,2,0,0,2,.143,.294,.143,.437
New York Yankees,MLB,Pre All-Star,361,303,55,68,15,1,22,57,43,64,6,2,13,.224,.343,.498,.841
New York Yankees,MLB,Post All-Star,187,162,22,36,6,0,10,18,15,37,0,3,10,.222,.326,.444,.770
