BATTERS - BAL,AB,R,H,RBI,BB,SO,LOB,AVG,OPS
MullinsCF,4,1,1,0,0,0,1,.246,.683
Mancini1B,4,0,1,0,0,1,2,.286,.723
SantanderLF,4,0,1,1,0,0,2,.227,.744
HaysRF,4,0,1,0,0,0,2,.294,.816
MountcastleDH,4,0,1,0,0,2,3,.255,.667
Odor2B,4,0,0,0,0,1,2,.230,.666
"Urías, R3B",3,1,1,0,0,1,0,.237,.649
ChirinosC,3,1,1,2,0,0,0,.146,.503
OwingsSS,2,0,0,0,1,1,0,.122,.434
,32,3,7,3,1,6,12,,
