BATTERS - BAL,AB,R,H,RBI,BB,SO,LOB,AVG,OPS
MullinsCF,4,1,2,2,1,0,0,.245,.688
ManciniDH,5,1,1,0,0,1,3,.305,.796
SantanderRF,5,0,1,0,0,2,2,.231,.744
1-McKennaPR,0,0,0,0,0,0,0,.227,.595
HaysLF,5,1,2,2,0,1,2,.302,.826
Mountcastle1B,4,0,1,1,1,1,3,.264,.728
RutschmanC,4,1,0,0,0,1,5,.163,.498
"Urías, R3B",4,1,1,1,0,0,0,.233,.665
Odor2B,3,1,0,0,0,1,0,.219,.672
OwingsSS,3,0,0,0,0,0,2,.107,.397
a-MateoPH-SS,1,0,0,0,0,1,0,.218,.602
,38,6,8,6,2,8,17,,
