PITCHERS - BAL,IP,H,R,ER,BB,SO,HR,ERA
Lyles,5.0,9,5,4,2,3,0,4.50
"Pérez, C",0.1,0,1,1,2,0,0,1.08
Krehbiel,0.0,1,0,0,1,0,0,2.74
Baker,0.2,0,0,0,0,1,0,5.48
Tate,1.2,1,0,0,0,2,0,1.69
"López, Jo(L, 3-3)",2.1,1,1,0,0,2,0,1.05
,10.0,12,7,5,5,8,0,
