PITCHERS - PHI,IP,H,R,ER,BB,SO,HR,ERA
Falter,0.2,3,4,4,1,0,1,54.00
Brogdon,2.1,1,0,0,0,2,0,3.86
Bellatti,1.0,0,0,0,0,2,0,2.25
"Hand(W, 2-0)",1.0,1,2,2,1,0,1,7.36
"Syndergaard(H, 1)",1.1,2,0,0,0,0,0,1.69
"Robertson(H, 1)",1.2,1,0,0,0,3,0,2.70
Eflin,1.0,0,0,0,0,1,0,5.68
,9.0,8,6,6,2,8,2,
