BATTERS - MIN,AB,R,H,RBI,BB,SO,LOB,AVG,OPS
ArraezDH,3,0,0,1,0,0,0,.322,.820
CorreaSS,4,0,0,0,0,2,1,.264,.765
Polanco2B,3,1,1,1,1,1,1,.238,.758
Miranda1B,4,0,1,0,0,2,1,.276,.776
GordonLF,4,1,1,0,0,3,0,.275,.745
KeplerRF,4,0,0,0,0,0,0,.225,.670
Urshela3B,3,0,2,0,0,0,0,.269,.741
SanchezC,3,1,1,0,0,2,2,.215,.669
CelestinoCF,3,0,1,0,0,0,2,.257,.644
,31,3,7,2,1,10,7,,
