PITCHERS - MIN,IP,H,R,ER,BB,SO,HR,ERA
"Archer(L, 2-7)",4.0,8,5,5,1,2,1,4.34
"Duran, J",1.0,0,0,0,1,0,0,1.98
Jax,1.0,0,0,0,0,1,0,3.61
"López, Jo",1.0,2,0,0,0,1,0,1.88
Megill,1.0,1,1,1,1,3,0,3.48
,8.0,11,6,6,3,7,1,
