 , , ,,Runs
Year,Team,PA,Pitches,Heart,Shadow,Chase,Waste,All
2017,,63,224,-3,-1,0,0,-3
2019,,75,291,0,0,5,1,6
2020,,134,537,1,-5,0,3,-1
2021,,529,"1,957",1,-15,13,10,9
2022,,582,"2,051",4,-20,7,8,-2
