Name,Year,0ft,5ft,10ft,15ft,20ft,25ft,30ft,35ft,40ft,45ft,50ft,55ft,60ft,65ft,70ft,75ft,80ft,85ft,90ft
"Hays, Austin - RHB",2017,0.00,0.54,0.84,1.10,1.33,1.56,1.77,1.97,2.16,2.35,2.53,2.71,2.88,3.06,3.23,3.40,3.57,3.74,3.92
"Hays, Austin - RHB",2019,0.00,0.56,0.85,1.11,1.35,1.57,1.78,1.98,2.17,2.36,2.54,2.71,2.89,3.06,3.24,3.41,3.58,3.74,3.92
"Hays, Austin - RHB",2020,0.00,0.57,0.89,1.16,1.40,1.62,1.83,2.03,2.22,2.41,2.60,2.78,2.96,3.14,3.31,3.49,3.66,3.84,4.02
"Hays, Austin - RHB",2021,0.00,0.55,0.87,1.14,1.37,1.60,1.81,2.01,2.20,2.40,2.59,2.77,2.96,3.13,3.31,3.49,3.67,3.85,4.04
"Hays, Austin - RHB",2022,0.00,0.55,0.87,1.14,1.38,1.60,1.81,2.01,2.20,2.39,2.58,2.76,2.94,3.12,3.30,3.48,3.65,3.83,4.02

