Team,Lg,Type,PA,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,HBP,AVG,OBP,SLG,OPS
Norfolk Tides,Triple-A,vs Left,4,4,,1,0,0,1,1,0,3,,,0,.250,.250,1.000,1.250
Norfolk Tides,Triple-A,vs Right,4,4,,0,0,0,0,0,0,0,,,0,.000,.000,.000,.000
