 , , , ,1B, ,2B, ,3B, ,SS, ,LF, ,CF, ,RF
Year,Total Throws,Max,Overall,Throws,Arm,Throws,Arm,Throws,Arm,Throws,Arm,Throws,Arm,Throws,Arm,Throws,Arm
2020,86,93.3,90.9,--,--,--,--,--,--,--,--,19,--,54,90.3,13,--
2021,374,94.8,91.7,--,--,--,--,--,--,--,--,238,91.3,8,--,128,92.2
2022,443,100.6,91.8,--,--,--,--,--,--,--,--,277,91.8,8,--,158,91.7
