BATTERS - PHI,AB,R,H,RBI,BB,SO,LOB,AVG,OPS
SchwarberDH,4,2,2,0,1,1,2,.213,.813
1-StubbsPR-DH,0,1,0,0,0,0,0,.289,.896
Hoskins1B,4,0,2,1,1,1,3,.251,.828
Bohm3B,5,0,1,2,0,2,5,.284,.711
RealmutoC,4,0,1,1,0,2,5,.264,.774
"Castellanos, NRF",4,0,1,0,0,1,2,.263,.696
Segura2B,3,0,2,0,1,0,0,.287,.742
VierlingCF-LF,4,0,1,0,0,1,4,.218,.588
"Sosa, ESS",3,0,0,0,0,0,1,.196,.533
"Maton, NLF",4,1,1,0,0,1,2,.348,1.162
ZimmerCF,0,0,0,0,0,0,0,.110,.451
,35,4,11,4,3,9,24,,
