PITCHERS - LAD,IP,H,R,ER,BB,SO,HR,ERA
"Heaney(L, 1-1)",4.2,5,5,3,1,10,3,1.77
Moronta,0.1,0,0,0,1,0,0,4.18
Price,1.0,0,0,0,0,1,0,2.36
Bickford,1.1,1,0,0,0,2,0,4.78
Vesia,0.2,0,0,0,0,1,0,2.77
,8.0,6,5,3,2,14,3,
