PITCHERS - MIL,IP,H,R,ER,BB,SO,HR,ERA
Burnes,6.0,7,4,4,0,5,2,2.26
Gott,1.0,1,0,0,0,2,0,2.77
"Perdomo, L",1.0,1,0,0,0,0,0,4.50
"Williams, D",1.0,0,0,0,0,3,0,4.50
Milner,1.0,0,1,0,1,1,0,3.86
"Kelley(W, 1-0)",1.0,1,1,0,0,1,0,0.00
,11.0,10,6,4,1,12,2,
