BATTERS - ATL,AB,R,H,RBI,BB,SO,LOB,AVG,OPS
Acuña Jr.RF,3,1,1,0,2,2,2,.282,.878
Olson1B,5,1,2,0,0,2,2,.270,.841
Riley3B,3,1,0,0,1,1,4,.246,.835
OzunaDH,2,0,0,2,1,0,1,.210,.609
Albies2B,4,0,0,0,0,1,4,.223,.692
d'ArnaudC,4,1,2,2,0,1,0,.309,.827
DuvallCF,3,0,0,0,1,0,1,.187,.551
DemeritteLF,4,0,1,0,0,2,1,.267,.764
SwansonSS,4,0,0,0,0,1,2,.233,.683
,32,4,6,4,5,10,17,,
