BATTERS - BOS,AB,R,H,RBI,BB,SO,LOB,AVG,OPS
"Hernández, KCF",5,1,0,0,0,1,5,.168,.513
Devers3B,4,2,2,4,1,1,1,.315,.854
MartinezDH,5,1,1,0,0,2,2,.289,.830
BogaertsSS,5,1,3,0,0,1,0,.354,.880
ArroyoSS,0,0,0,0,0,0,0,.213,.553
VerdugoLF,4,1,1,1,1,0,2,.213,.576
Story2B,5,1,2,2,0,1,2,.204,.558
Cordero1B,0,0,0,0,3,0,0,.222,.626
a-DalbecPH-1B,2,0,1,0,0,0,2,.148,.453
VázquezC,5,1,1,1,0,2,7,.215,.556
Bradley Jr.RF,3,1,0,1,2,2,3,.195,.558
,38,9,11,9,7,10,24,,
