PITCHERS - BOS,IP,H,R,ER,BB,SO,HR,ERA
Whitlock,3.0,4,3,3,4,5,1,2.19
"Danish(W, 1-0)",2.0,1,0,0,0,2,0,2.35
"Brasier(H, 4)",1.0,0,0,0,0,0,0,2.45
"Robles(H, 6)",1.0,1,1,1,1,0,0,2.70
"Schreiber(S, 1)",2.0,0,0,0,0,3,0,0.00
,9.0,6,4,4,5,10,1,
