BATTERS - NYY,AB,R,H,RBI,BB,SO,LOB,AVG,OPS
JudgeCF,4,1,3,1,0,1,0,.307,1.095
LocastroLF,1,0,0,0,0,0,0,.154,.522
StantonDH,5,2,2,1,0,2,3,.216,.755
Torres2B,5,1,2,1,0,0,0,.238,.704
Donaldson3B,4,3,2,1,0,0,1,.223,.696
"Cabrera, ORF",4,1,2,2,0,1,1,.203,.504
AndújarLF,4,1,2,1,0,0,1,.268,.620
1-FlorialPR-CF,0,1,0,0,0,0,0,.097,.297
Kiner-FalefaSS,4,0,2,1,0,0,1,.268,.650
HigashiokaC,4,0,0,1,0,1,3,.201,.595
Gonzalez1B,4,0,0,0,0,1,2,.190,.588
,39,10,15,9,0,6,12,,
