PITCHERS - TOR,IP,H,R,ER,BB,SO,HR,ERA
Stripling,5.0,5,1,1,0,7,0,3.60
"Thornton(L, 0-1)",1.0,3,2,2,0,0,0,2.70
"Richards, T",0.2,0,0,0,2,1,0,1.08
Saucedo,0.1,0,0,0,0,0,0,13.50
Merryweather,1.0,2,2,2,0,0,0,6.75
Vasquez,0.1,2,2,2,0,0,0,54.00
Francis,0.2,1,0,0,0,1,0,0.00
,9.0,13,7,7,2,9,0,
