PITCHERS - NYY,IP,H,R,ER,BB,SO,HR,ERA
"Severino, L",5.0,3,5,5,4,9,2,3.27
Castro,0.2,2,2,2,1,1,1,4.35
"Peralta, Wa(L, 1-1)(BS, 2)",1.0,2,3,3,1,0,1,2.52
Marinaccio,1.1,0,0,0,2,1,0,3.21
,8.0,7,10,10,8,11,4,
