BATTERS - HOU,AB,R,H,RBI,BB,SO,LOB,AVG,OPS
Altuve2B,3,2,2,2,2,1,2,.286,.888
PeñaSS,4,1,1,0,0,2,2,.246,.694
Bregman3B,4,0,1,0,1,1,3,.267,.849
TuckerRF,5,0,1,2,0,1,5,.260,.809
ManciniLF,4,0,1,1,1,1,2,.258,.746
McCormickLF,0,0,0,0,0,0,0,.238,.742
Gurriel1B,4,0,0,0,1,2,3,.240,.656
VázquezC,5,0,2,0,0,1,1,.290,.753
HensleyDH,4,1,3,0,1,1,2,.400,.955
DubónCF,4,1,0,0,1,1,7,.212,.564
,37,5,11,5,7,11,27,,
