PITCHERS - DET,IP,H,R,ER,BB,SO,HR,ERA
"Faedo(L, 1-3)",3.0,9,7,7,1,5,2,4.28
Foley,1.0,2,0,0,0,0,0,2.18
Lange,1.0,2,2,2,1,3,1,2.13
"Jiménez, J",1.0,2,2,2,0,2,0,4.24
"Castro, H",1.0,1,0,0,0,1,0,4.50
Clemens,1.0,3,1,1,1,0,0,9.00
Barnhart,1.0,3,1,1,0,0,0,9.00
,9.0,22,13,13,3,11,3,
