PITCHERS - SD,IP,H,R,ER,BB,SO,HR,ERA
"Darvish(W, 1-1)",6.2,4,1,1,0,8,1,6.28
"Wilson, S(H, 1)",0.1,0,0,0,0,0,0,2.08
"García, L(H, 1)",1.0,0,0,0,0,0,0,0.00
"Rogers(S, 4)",1.0,0,0,0,0,2,0,0.00
,9.0,4,1,1,0,10,1,
