Season,Tm,LG,POS,G,GS,INN,TC,PO,A,E,DP,RF,FPCT%
2018,STL,NL,1B,4,2,21.0,25,23,0,2,5,,.920
2018,STL,NL,3B,13,6,64.1,17,3,13,1,1,,.941
2019,TEX,AL,1B,5,4,35.2,26,23,2,1,3,,.962
2019,TEX,AL,3B,4,2,26.1,6,2,4,0,2,,1.000
2020,CHC,NL,1B,2,0,4.0,3,3,0,0,0,,1.000
2021,CHC,NL,1B,13,8,73.2,83,78,4,1,7,,.988
2021,CHC,NL,3B,77,63,572.2,182,47,128,7,17,,.962
2021,CHC,NL,LF,15,12,97.2,24,23,1,0,0,,1.000
2021,CHC,NL,RF,3,2,15.1,5,5,0,0,0,,1.000
2022,CHC,NL,1B,18,12,115.1,102,95,7,0,6,,1.000
2022,CHC,NL,3B,105,103,903.0,267,66,187,14,28,,.948
2022,CHC,NL,LF,5,3,33.0,5,5,0,0,0,,1.000
2022,CHC,NL,CF,2,0,7.0,3,3,0,0,0,,1.000
2022,CHC,NL,RF,7,6,46.0,9,9,0,0,0,,1.000
2022,CHC,NL,DH,3,3,0.0,0,0,0,0,0,,.000
5 Seasons,3 Teams,,1B,42,26,249.2,239,222,13,4,21,,.983
,3 Teams,,3B,199,174,1566.1,472,118,332,22,48,,.953
,CHC,NL,LF,20,15,130.2,29,28,1,0,0,,1.000
,CHC,NL,CF,2,0,7.0,3,3,0,0,0,,1.000
,CHC,NL,RF,10,8,61.1,14,14,0,0,0,,1.000
,CHC,NL,DH,3,3,0.0,0,0,0,0,0,,.000
