Year,Team,Avg HR Trot,Actual HR,xHR,HR-xHR,Doubters,Mostly Gone,No Doubters,No Doubter %
2018,,20.8,4,4.0,0,1,2,2,50.0
2019,,--,0,0.0,0,1,0,0,--
2021,,21.3,28,25.2,3,8,11,15,53.6
2022,,22.6,25,25.7,-1,4,20,10,40.0
Player,,21.9,57,54.9,2,14,33,27,47.4
