Year,Pitch Type,#,%,PA,AB,H,1B,2B,3B,HR,SO,BBE,BA,XBA,SLG,XSLG,WOBA,XWOBA,EV,LA,Whiff%,PutAway%
2022,Fastballs,"1,185",53.8,274,239,48,22,10,0,16,87,154,.201,.194,.444,.416,.322,.309,91.0,21,32.8,21.6
2022,Breaking,812,36.9,194,177,31,14,12,0,5,75,103,.175,.166,.328,.296,.253,.245,89.5,23,42.0,24.8
2022,Offspeed,206,9.4,57,49,17,7,6,0,4,19,30,.347,.247,.714,.519,.483,.378,90.0,16,33.3,21.1
2021,Fastballs,906,55.5,198,178,46,22,6,0,18,77,101,.258,.245,.596,.557,.388,.370,94.1,21,35.9,25.0
2021,Breaking,527,32.3,120,108,19,10,5,0,4,53,55,.176,.145,.333,.267,.258,.222,86.8,22,46.5,25.9
2021,Offspeed,198,12.1,56,52,13,5,2,0,6,23,29,.250,.260,.635,.527,.387,.357,89.4,8,50.9,31.5
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
