BATTERS - NYY,AB,R,H,RBI,BB,SO,LOB,AVG,OPS
Rizzo1B,4,0,0,0,0,1,0,.227,.858
LeMahieu3B,3,0,0,0,1,0,0,.289,.819
CarpenterRF,3,0,1,0,1,1,0,.322,1.226
DonaldsonDH,4,0,0,0,0,2,3,.220,.685
BenintendiLF,3,1,0,0,1,0,2,.305,.761
Torres2B,4,0,0,0,0,2,1,.254,.769
"Hicks, ACF",4,0,0,0,0,1,1,.223,.664
Kiner-FalefaSS,3,1,2,1,0,0,0,.275,.641
HigashiokaC,3,1,2,2,0,1,0,.197,.602
,31,3,5,3,3,8,7,,
