BATTERS - SEA,AB,R,H,RBI,BB,SO,LOB,AVG,OPS
Frazier2B,4,1,2,0,0,0,1,.250,.627
WinkerLF,3,2,1,1,1,0,1,.227,.693
"Suárez, E3B",4,1,1,3,0,1,0,.234,.763
Santana1B,4,1,2,1,0,2,0,.209,.699
"Crawford, JSS",4,1,2,0,0,1,1,.262,.705
LewisDH,4,0,0,0,0,3,2,.157,.579
KelenicCF,4,1,1,2,0,1,1,.131,.495
TorrensC,4,0,0,0,0,0,0,.202,.472
HaggertyRF,4,0,1,0,0,1,0,.303,.859
,35,7,10,7,1,9,6,,
