BATTERS - CIN,AB,R,H,RBI,BB,SO,LOB,AVG,OPS
FriedlLF,3,0,1,0,0,0,3,.249,.771
India2B,4,0,1,0,0,1,5,.252,.710
"Farmer, KSS",4,0,0,0,0,2,3,.255,.701
Steer3B,4,1,2,1,0,1,1,.227,.693
FairchildCF,4,0,1,0,0,1,0,.284,.896
"Lopez, ADH",4,1,0,0,0,2,1,.285,.702
AquinoRF,2,0,0,0,2,0,0,.196,.603
"Reynolds, M1B",2,0,1,0,1,0,0,.255,.669
RomineC,2,0,0,1,0,1,2,.170,.482
,29,2,6,2,3,8,15,,
