PITCHERS - NYY,IP,H,R,ER,BB,SO,HR,ERA
"Severino, L(L, 0-1)",5.1,5,3,3,1,6,1,4.91
Loáisiga,2.0,1,0,0,1,0,0,0.00
"Peralta, Wa",0.2,2,0,0,0,0,0,2.70
,8.0,8,3,3,2,6,1,
