PITCHERS - HOU,IP,H,R,ER,BB,SO,HR,ERA
"Valdez, F(W, 1-0)",7.0,4,2,0,0,9,0,1.42
"Abreu, B(H, 2)",1.0,0,0,0,1,1,0,0.00
"Pressly(S, 3)",1.0,0,0,0,1,3,0,0.00
,9.0,4,2,0,2,13,0,
