BATTERS - MIA,AB,R,H,RBI,BB,SO,LOB,AVG,OPS
Chisholm Jr.2B,4,1,1,2,0,1,0,.290,1.107
CooperDH,3,0,0,0,1,2,0,.222,.682
SolerLF,4,0,1,0,0,0,1,.152,.511
De La CruzLF,0,0,0,0,0,0,0,.364,1.169
"Sánchez, JCF",3,3,2,1,1,1,1,.356,1.063
Aguilar1B,4,0,2,0,0,0,0,.205,.488
"García, AvRF",4,0,0,0,0,1,4,.176,.494
WendleSS,4,0,1,0,0,0,2,.314,.768
"Anderson, B3B",1,1,0,1,2,0,2,.269,.770
StallingsC,3,0,0,0,0,0,6,.143,.418
,30,5,7,4,4,5,16,,
