PITCHERS - ATL,IP,H,R,ER,BB,SO,HR,ERA
"Wright(L, 3-1)",7.0,9,3,3,1,3,1,1.74
"Smith, W.M.",1.0,0,0,0,0,1,0,2.61
,8.0,9,3,3,1,4,1,
