BATTERS - AZ,AB,R,H,RBI,BB,SO,LOB,AVG,OPS
"Rojas, J3B",4,1,2,1,0,1,0,.283,.779
"Thomas, ACF",4,0,0,0,0,1,1,.252,.708
"Marte, K2B",4,2,2,1,0,1,0,.270,.828
"Walker, C1B",4,0,0,0,0,1,1,.204,.762
PeraltaLF,4,0,2,1,0,0,1,.251,.782
VarshoRF,3,0,0,0,1,0,2,.233,.713
McCarthyDH,4,1,1,0,0,0,3,.252,.726
"Alcántara, SeSS",3,1,1,0,0,0,0,.190,.525
PerdomoSS,0,0,0,0,0,0,0,.201,.563
"Herrera, JC",2,0,0,1,0,2,0,.188,.463
,32,5,8,4,1,6,8,,
