BATTERS - COL,AB,R,H,RBI,BB,SO,LOB,AVG,OPS
McMahon2B-3B,4,0,1,0,0,2,0,.248,.745
DazaCF-RF,4,0,1,0,0,1,1,.313,.755
Cron1B,3,1,1,0,1,0,1,.263,.804
1-HampsonPR-CF,0,1,0,0,0,0,0,.213,.606
BlackmonDH,4,1,1,1,0,1,2,.258,.721
"Díaz, EC",4,0,1,2,0,1,0,.234,.680
TogliaRF-1B,4,0,0,0,0,2,2,.190,.639
"Montero, E3B",4,0,0,0,0,1,2,.250,.743
Rodgers2B,0,0,0,0,0,0,0,.261,.716
BouchardLF,3,0,0,0,0,3,0,.182,.606
TrejoSS,3,0,0,0,0,1,0,.260,.746
,33,3,5,3,1,12,8,,
