PITCHERS - CHC,IP,H,R,ER,BB,SO,HR,ERA
Wesneski,7.0,3,1,1,0,7,0,2.30
"Alzolay(L, 0-1)",2.0,2,2,2,1,5,0,9.00
,9.0,5,3,3,1,12,0,
