 ,2+ Stars (0-90%), , , ,Components of Jump, , ,Jump
Year,Outs,Opp,%,OAA,Reaction,Burst,Route,Feet vs Avg,Feet Covered
2016,37,99,37.4,-12,-2.2,-0.1,0.9,-1.4,32
2017,43,92,46.7,-4,-2.2,-0.3,1,-1.5,32.3
2018,29,80,36.3,-7,-1.9,-0.3,1.2,-1,31.9
2019,14,31,45.2,-4,-2.1,-0.6,1,-1.8,31.3
2020,4,15,26.7,-2,-1.3,-1.4,0.7,-1.7,31
2021,20,52,38.5,-6,-1.3,-0.8,1,-1,32.2
2022,7,16,43.8,-1,-0.7,-0.2,0.5,-0.4,32.9
