Season,Tm,LG,PA,TB,LOB,SAC,SF,BABIP,XBH,GIDP,GIDPO,NP,P/PA,K/PA,HR/PA,BB/K,ISO,ROE,WO
2009,PIT,NL,493,204,106,0,4,.327,47,3,49,2007,4.071,.168,.024,.651,.185,5,2
2010,PIT,NL,653,256,148,1,7,.311,56,6,69,2632,4.031,.136,.025,.787,.163,8,0
2011,PIT,NL,678,261,196,2,6,.291,62,7,62,2832,4.177,.186,.034,.706,.198,8,1
2012,PIT,NL,673,328,212,0,5,.375,66,9,91,2612,3.881,.196,.046,.530,.226,2,2
2013,PIT,NL,674,296,238,0,4,.353,64,13,95,2562,3.801,.150,.031,.772,.190,5,1
2014,PIT,NL,648,297,214,0,6,.355,69,9,85,2640,4.074,.177,.039,.730,.228,5,0
2015,PIT,NL,685,276,202,0,9,.339,62,9,96,2780,4.058,.194,.034,.737,.196,5,1
2016,PIT,NL,675,257,240,0,3,.297,53,15,103,2740,4.059,.212,.036,.483,.174,7,0
2017,PIT,NL,650,277,223,0,3,.305,60,10,93,2621,4.032,.178,.043,.629,.207,3,1
2018,SF,NL,568,200,180,0,6,.309,45,11,77,2387,4.202,.217,.026,.593,.160,5,2
2018,NYY,AL,114,41,22,0,1,.279,8,1,8,502,4.404,.193,.044,1.000,.218,0,0
2018,2 Teams,,682,241,202,0,7,.304,53,12,85,2889,4.236,.213,.029,.655,.169,5,2
2019,PHI,NL,262,100,53,0,0,.299,23,1,21,1165,4.447,.210,.038,.782,.201,1,0
2020,PHI,NL,241,94,72,0,1,.281,19,4,24,974,4.041,.199,.041,.458,.180,2,0
2021,PHI,NL,574,214,200,0,7,.242,52,10,72,2308,4.021,.230,.047,.614,.222,3,1
2022,MIL,NL,580,198,226,0,4,.278,42,10,67,2364,4.076,.214,.029,.460,.148,2,1
14 Seasons,5 Teams,,8168,3299,2532,3,66,.315,728,118,1012,33126,4.056,.189,.035,.637,.192,61,12
